geom,Num_Occupants,Num_MotorVehicles,Fatalities_calc,SuspectedSeriousInjury_calc,NonMotorist_calc,Aggregated_Non_Motorist_txt,CityTownship,CountyNameTxt,Region,Zipcode_txtCARTO,TribalLand_txtCARTO,InjuryLevel,ExceedingSpeedLimitInd_boolCARTO,Seatbelt_boolCARTO,DistractedDrivingCde_boolCARTO,AlcoholSuspectedCde_txtCARTO,DrugSuspectedCde_txtCARTO,WeatherCde_txtCARTO,SurfaceConditionCde_txtCARTO,RdwyTypeCde_txtCARTO,RelativeLocIntersectCde,PostedSpeedNbr_binCARTO,WorkZoneInd_txtCARTO,DateOfIncident,AgencyIdNbr_txtCARTO,Injuries_calc,LatDec,LongDec,RdwyNameTxt,LocalCodeTxt,doi_date,doi_time,doi_dow_txtCARTO,HitAndRunInd_txtCARTO,VehicleMakeModelYearTxt_list,VehicleTypeCde_txtCARTO_list,doi_hour_txtCARTO,CrashType,CrashDetail
POINT(-93.1511879 44.84844541),2,2,0,0,0,Motorist Only,EAGAN,DAKOTA,Metro,55121,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,Ramp or Connector,Interchange on Ramp,56 - 70 MPH,No,2025-08-28 14:50:00,MN State Patrol District 2400 - Oakdale,0,44.84844541,-93.1511879,RAMP603,25407233,"August 28, 2025",02:50:00 PM,Thursday,"No, Did not Leave Scene","2016 MAZDA CX-5, 2012 TOYOTA RAV4","Sport Utility Vehicle, Sport Utility Vehicle",2:00 PM - 2:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.31958771 44.89108672),2,2,0,0,0,Motorist Only,EDINA,HENNEPIN,Metro,55410,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,Ramp or Connector,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-28 17:22:00,MN State Patrol District 2500 - Golden Valley,0,44.89108672,-93.31958771,WB62 AT XERXES,25510765,"August 28, 2025",05:22:00 PM,Thursday,"No, Did not Leave Scene","2013 MAZDA 3, 2013 FORD EDGE","Passenger Car, Sport Utility Vehicle",5:00 PM - 5:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.31692696 44.8909651),2,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55410,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,Ramp or Connector,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-28 06:55:00,MN State Patrol District 2500 - Golden Valley,0,44.8909651,-93.31692696,MNTH 62 WB @ XERXES AVE S,25510735,"August 28, 2025",06:55:00 AM,Thursday,"No, Did not Leave Scene","2013 HONDA CR-V, 2013 HONDA CIVIC","Passenger Car, Passenger Car",6:00 AM - 6:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.18367481 44.89242445),2,2,0,0,0,Motorist Only,UNORGANIZED TERRITORY OF FORT SNELLING,HENNEPIN,Metro,55111,Not on Tribal Land,No Apparent Injury,No,Yes,Yes,No,No,Clear,Dry,Ramp or Connector,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-28 17:47:00,MN State Patrol District 2400 - Oakdale,0,44.892424449999993,-93.183674810000014,WB MNTH 5 NORTH OF MNTH 55,25407243,"August 28, 2025",05:47:00 PM,Thursday,"No, Did not Leave Scene","2002 ACURA 3.5RL, 2023 TOYOTA HIGHLANDER","Passenger Car, Sport Utility Vehicle",5:00 PM - 5:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.08058843 44.89443714),2,2,0,0,0,Motorist Only,WEST SAINT PAUL,DAKOTA,Metro,55118,Not on Tribal Land,Possible Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,Ramp or Connector,Four-Way Intersection,31 - 40 MPH,No,2025-08-28 10:56:00,West St Paul Police Dept,1,44.89443714,-93.08058843,RAMP203,25002648,"August 28, 2025",10:56:00 AM,Thursday,"No, Did not Leave Scene","2017 NISSAN MURANO, 2013 FORD FOCUS","Sport Utility Vehicle, Passenger Car",10:00 AM - 10:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.30617042 45.21929978),2,2,0,0,0,Motorist Only,ANDOVER,ANOKA,Metro,55304,Not on Tribal Land,No Apparent Injury,No,Yes,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,41 - 55 MPH,No,2025-08-27 21:55:00,Anoka County Sheriff,0,45.21929978,-93.30617042,HANSON BLVD NW,25190340,"August 27, 2025",09:55:00 PM,Wednesday,"No, Did not Leave Scene","2012 JEEP (POST 1988) LIBERTY, 2012 TOYOTA CAMRY","Passenger Car, Passenger Car",9:00 PM - 9:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.79637222 45.16518932),3,2,0,0,0,Motorist Only,BUFFALO,WRIGHT,East Central,55313,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,T Intersection,41 - 55 MPH,No,2025-08-27 15:31:00,Wright County Sheriff,0,45.16518932,-93.79637222,10TH ST NE,25023933,"August 27, 2025",03:31:00 PM,Wednesday,"No, Did not Leave Scene","2019 DODGE GRAND CARAVAN, 2013 FORD ESCAPE","Passenger Car, Sport Utility Vehicle",3:00 PM - 3:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.23986252 45.86820765),2,2,0,0,0,Motorist Only,COMFORT,KANABEC,East Central,55051,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-27 19:45:00,Kanabec County Sheriff,0,45.868207650000009,-93.23986252,CSAH 1,25011103,"August 27, 2025",07:45:00 PM,Wednesday,"No, Did not Leave Scene","2023 FORD F250, 2001 HONDA ACCORD","Pickup, Passenger Car",7:00 PM - 7:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.17409442 44.99166548),3,2,0,0,0,Motorist Only,FALCON HEIGHTS,RAMSEY,Metro,55113,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",31 - 40 MPH,No,2025-08-27 13:40:00,St Anthony Police Dept,0,44.99166548,-93.17409442,LARPENTEUR AVE W,25011243,"August 27, 2025",01:40:00 PM,Wednesday,"No, Did not Leave Scene","2023 HYUNDAI ELANTRA, 2019 HONDA CIVIC","Passenger Car, Passenger Car",1:00 PM - 1:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-92.98641597 45.26844815),3,1,0,1,1,Pedestrian,FOREST LAKE,WASHINGTON,Metro,55025,Not on Tribal Land,Suspected Serious Injury,No,Not Completely,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Intersection Related,31 - 40 MPH,No,2025-08-27 18:19:00,Forest Lake Police Dept,1,45.26844815,-92.98641597,11TH AVE SW,FL25009584,"August 27, 2025",06:19:00 PM,Wednesday,"No, Did not Leave Scene",2016 TOYOTA SIENNA,Passenger Van (Seats Installed Behind Driver),6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Pedestrian
