geom,Num_Occupants,Num_MotorVehicles,Fatalities_calc,SuspectedSeriousInjury_calc,NonMotorist_calc,Aggregated_Non_Motorist_txt,CityTownship,CountyNameTxt,Region,Zipcode_txtCARTO,TribalLand_txtCARTO,InjuryLevel,ExceedingSpeedLimitInd_boolCARTO,Seatbelt_boolCARTO,DistractedDrivingCde_boolCARTO,AlcoholSuspectedCde_txtCARTO,DrugSuspectedCde_txtCARTO,WeatherCde_txtCARTO,SurfaceConditionCde_txtCARTO,RdwyTypeCde_txtCARTO,RelativeLocIntersectCde,PostedSpeedNbr_binCARTO,WorkZoneInd_txtCARTO,DateOfIncident,AgencyIdNbr_txtCARTO,Injuries_calc,LatDec,LongDec,RdwyNameTxt,LocalCodeTxt,doi_date,doi_time,doi_dow_txtCARTO,HitAndRunInd_txtCARTO,VehicleMakeModelYearTxt_list,VehicleTypeCde_txtCARTO_list,doi_hour_txtCARTO,CrashType,CrashDetail
POINT(-93.07412971 44.97571102),2,1,0,0,1,Pedestrian,SAINT PAUL,RAMSEY,Metro,55130,Not on Tribal Land,Suspected Minor Injury,No,Not Completely,No,No,No,Clear,Dry,Alleyways,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 17:31:00,Metropolitan Transit Police Dept,1,44.97571102,-93.07412971,230,25007350,"August 30, 2025",05:31:00 PM,Saturday,"No, Did not Leave Scene",2012 GILLIG LOW FLOOR,Transit Bus,5:00 PM - 5:59 PM,Collision w/ Non-Fixed Object,Pedestrian
POINT(-93.84778976 45.22313065),4,2,0,0,0,Motorist Only,BUFFALO,WRIGHT,East Central,55313,Not on Tribal Land,Suspected Minor Injury,No,Not Completely,Yes,No,No,Clear,Dry,County Road - CNTY,Four-Way Intersection,56 - 70 MPH,No,2025-08-30 13:59:00,MN State Patrol District 2600 - St Cloud,2,45.22313065,-93.84778976,MNTH 25@50TH ST NE,25602842,"August 30, 2025",01:59:00 PM,Saturday,"No, Did not Leave Scene","2015 NISSAN ALTIMA, 2015 NISSAN ALTIMA","Passenger Car, Passenger Car",1:00 PM - 1:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-96.11354504 46.33424474),2,2,0,0,0,Motorist Only,FERGUS FALLS,OTTER TAIL,West Central,56537,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,Yes,No,Clear,Dry,County State Aid Highway - CSAH,T Intersection,41 - 55 MPH,No,2025-08-30 18:57:00,Otter Tail County Sheriff,0,46.33424474000001,-96.11354504,CSAH 88,002500028617,"August 30, 2025",06:57:00 PM,Saturday,"No, Did not Leave Scene","2014 SUBARU LEGACY, 2020 JEEP (1970-1988) RENEGADE (TRAILHAWK & LATITUDE)","Passenger Car, Passenger Car",6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.34954262 44.99916014),3,2,0,0,0,Motorist Only,GOLDEN VALLEY,HENNEPIN,Metro,55422,Not on Tribal Land,Possible Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 16:22:00,MN State Patrol District 2500 - Golden Valley,1,44.99916014,-93.34954262,DULUTH ST AND 100,25510846,"August 30, 2025",04:22:00 PM,Saturday,"No, Did not Leave Scene","2014 CHEVROLET EQUINOX, 2025 SUBARU CROSSTREK","Sport Utility Vehicle, Sport Utility Vehicle",4:00 PM - 4:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-95.32833201 46.62983315),1,1,0,0,0,Motorist Only,HOMESTEAD,OTTER TAIL,West Central,56567,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Not known at time of the crash,Dry,County State Aid Highway - CSAH,Driveway Access Related,41 - 55 MPH,No,2025-08-30 06:10:00,Otter Tail County Sheriff,1,46.62983315,-95.32833201,CSAH 8,25028554,"August 30, 2025",06:10:00 AM,Saturday,"No, Did not Leave Scene",2010 FORD ESCAPE,Sport Utility Vehicle,6:00 AM - 6:59 AM,Collision w/ Fixed Object,Ditch
POINT(-93.23993892 44.98214541),3,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55414,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,Yes,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 00:43:00,Minneapolis Police Dept,1,44.98214541,-93.23993892,4TH ST SE,25-247077,"August 30, 2025",12:43:00 AM,Saturday,"No, Did not Leave Scene","2017 HONDA CB300, 2023 TOYOTA CAMRY","Motorcycle, Passenger Car",12:00 AM - 12:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.30821497 45.0149855),1,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55412,Not on Tribal Land,Possible Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,,No,2025-08-30 14:30:00,Minneapolis Police Dept,1,45.0149855,-93.30821497,PENN AVE N,25-249722,"August 30, 2025",02:30:00 PM,Saturday,"Yes, Driver or Car and Driver Left Scene",2006 NISSAN QST,Sport Utility Vehicle,2:00 PM - 2:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.28179794 44.99867026),2,1,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55411,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 16:35:00,Minneapolis Police Dept,2,44.99867026,-93.28179794,WASHINGTON AVE N,25-247771,"August 30, 2025",04:35:00 PM,Saturday,"No, Did not Leave Scene",2009 FORD FSE,Passenger Car,4:00 PM - 4:59 PM,Collision w/ Fixed Object,"Other Post, Pole or Support"
POINT(-93.29905744 45.04069553),2,1,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55430,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,Unknown,,No,2025-08-30 23:07:00,Minneapolis Police Dept,2,45.04069553,-93.29905744,HUMBOLDT AVE N,25-248166,"August 30, 2025",11:07:00 PM,Saturday,"Yes, Driver or Car and Driver Left Scene",2012 MAZDA MAZDA2,Passenger Car,11:00 PM - 11:59 PM,Collision w/ Fixed Object,Standing Tree/Shrubbery
POINT(-93.39958191 45.05769833),2,2,0,0,0,Motorist Only,NEW HOPE,HENNEPIN,Metro,55428,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Interchange on Ramp,41 - 55 MPH,No,2025-08-30 10:19:00,MN State Patrol District 2500 - Golden Valley,0,45.05769833,-93.399581910000009,EB BASS LAKE RD AT NB USTH 169,25510837,"August 30, 2025",10:19:00 AM,Saturday,"No, Did not Leave Scene","2025 CHEVROLET MALIBU, 2018 FORD F150","Passenger Car, Pickup",10:00 AM - 10:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.40180556 45.23193199),2,2,0,1,0,Motorist Only,RAMSEY,ANOKA,Metro,55303,Not on Tribal Land,Suspected Serious Injury,No,Not Completely,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,T Intersection,41 - 55 MPH,No,2025-08-30 17:34:00,Ramsey Police Dept,2,45.23193199,-93.40180556,NOWTHEN BLVD NW,25192653,"August 30, 2025",05:34:00 PM,Saturday,"No, Did not Leave Scene","2008 YAMAHA YZFR6, 2015 NISSAN ALTIMA","Motorcycle, Passenger Car",5:00 PM - 5:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.10685894 44.99195675),2,2,0,0,0,Motorist Only,ROSEVILLE,RAMSEY,Metro,55113,Not on Tribal Land,Possible Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-30 18:14:00,Roseville Police Dept,2,44.99195675,-93.10685894,W LARPENTEUR AVE,RV25027466,"August 30, 2025",06:14:00 PM,Saturday,"Yes, Driver or Car and Driver Left Scene",2023 MITSUBISHI OUTLANDER SPORT,Passenger Car,6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Other - Non Fixed Object
POINT(-94.172123 46.4521837),1,1,0,0,0,Motorist Only,UNORGANIZED TERRITORY OF FIRST ASSESSMENT,CROW WING,East Central,56465,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,Yes,No,Clear,Dry,County State Aid Highway - CSAH,T Intersection,,No,2025-08-30 22:41:00,Crow Wing County Sheriff,0,46.4521837,-94.172123,CSAH 3,25013195,"August 30, 2025",10:41:00 PM,Saturday,"No, Did not Leave Scene",2014 FORD FOCUS,Passenger Car,10:00 PM - 10:59 PM,Collision w/ Fixed Object,Ditch
POINT(-95.63006401 45.9644558),1,1,0,0,0,Motorist Only,BRANDON,DOUGLAS,West Central,56315,Not on Tribal Land,Possible Injury,Yes,Yes,Yes,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 18:38:00,MN State Patrol District 2900 - Detroit Lakes,1,45.96445580000001,-95.63006401,ISTH 94,25901675,"August 30, 2025",06:38:00 PM,Saturday,"No, Did not Leave Scene",2007 PONTIAC G6,Passenger Car,6:00 PM - 6:59 PM,Non-Collision,Overturn/Rollover
POINT(-93.3743906 45.07794527),1,2,0,0,0,Motorist Only,BROOKLYN PARK,HENNEPIN,Metro,55428,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Cloudy,Wet,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 02:42:00,MN State Patrol District 2500 - Golden Valley,0,45.07794527,-93.3743906,ISTH-694 @ CTY RD 81,25510831,"August 30, 2025",02:42:00 AM,Saturday,"Yes, Driver or Car and Driver Left Scene",2018 HONDA CR-V,Passenger Car,2:00 AM - 2:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-96.38994242 46.6532392),1,1,0,0,0,Motorist Only,HUMBOLDT,CLAY,West Central,56514,Not on Tribal Land,No Apparent Injury,Yes,Yes,Unknown,No,No,Rain,Wet,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 16:05:00,MN State Patrol District 2900 - Detroit Lakes,0,46.6532392,-96.38994242,ISTH 94,25901671,"August 30, 2025",04:05:00 PM,Saturday,"No, Did not Leave Scene",2008 HONDA CIVIC,Passenger Car,4:00 PM - 4:59 PM,Collision w/ Fixed Object,Cable Median Barrier
POINT(-93.0897224 45.00352224),3,2,0,0,0,Motorist Only,MAPLEWOOD,RAMSEY,Metro,55117,Not on Tribal Land,Possible Injury,No,Yes,No,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 09:27:00,MN State Patrol District 2400 - Oakdale,1,45.003522240000009,-93.0897224,SB ISTH 35E AND ROSELAWN,25407305,"August 30, 2025",09:27:00 AM,Saturday,"No, Did not Leave Scene","2011 TOYOTA CAMRY, 2011 CHRYSLER TOWN & COUNTRY","Passenger Car, Sport Utility Vehicle",9:00 AM - 9:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.28705788 44.96504089),1,1,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55403,Not on Tribal Land,No Apparent Injury,Yes,Yes,No,Yes,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-30 01:22:00,MN State Patrol District 2500 - Golden Valley,0,44.965040890000004,-93.28705788,WB 94@LHT,25510828,"August 30, 2025",01:22:00 AM,Saturday,"No, Did not Leave Scene",2026 TESLA MODEL Y,Passenger Car,1:00 AM - 1:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.26989174 44.96048607),3,3,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55404,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-30 13:56:00,MN State Patrol District 2500 - Golden Valley,0,44.960486069999995,-93.26989174,NB 35W I AT 28TH ST,25510841,"August 30, 2025",01:56:00 PM,Saturday,"No, Did not Leave Scene","2015 KIA MOTORS SORENTO, 2024 TOYOTA RAV4, 2021 HONDA PILOT","Sport Utility Vehicle, Sport Utility Vehicle, Sport Utility Vehicle",1:00 PM - 1:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.84409905 45.32270279),1,1,0,0,0,Motorist Only,MONTICELLO,WRIGHT,East Central,55362,Not on Tribal Land,Possible Injury,No,Yes,Yes,Yes,Yes,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 20:08:00,MN State Patrol District 2600 - St Cloud,1,45.32270279,-93.84409905,ISTH 94,25602846,"August 30, 2025",08:08:00 PM,Saturday,"No, Did not Leave Scene",2014 KIA MOTORS SORENTO,Sport Utility Vehicle,8:00 PM - 8:59 PM,Non-Collision,Overturn/Rollover
POINT(-93.7790823 45.29351669),1,1,0,0,0,Motorist Only,MONTICELLO,WRIGHT,East Central,55362,Not on Tribal Land,No Apparent Injury,No,Yes,Unknown,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,Yes,2025-08-30 03:56:00,MN State Patrol District 2600 - St Cloud,0,45.293516690000004,-93.7790823,ISTH 94,25602835,"August 30, 2025",03:56:00 AM,Saturday,"No, Did not Leave Scene",2009 CHEVROLET SILVERADO,Pickup,3:00 AM - 3:59 AM,Collision w/ Fixed Object,Roadway Sign or Signal Structure
POINT(-93.19616318 45.01032645),2,2,0,0,0,Motorist Only,ROSEVILLE,RAMSEY,Metro,55113,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 21:34:00,MN State Patrol District 2500 - Golden Valley,0,45.01032645,-93.19616318,SB ISTH 35W AT MNTH 280,25510857,"August 30, 2025",09:34:00 PM,Saturday,"No, Did not Leave Scene","2022 TESLA MODEL 3, 2017 TOYOTA CAMRY","Passenger Car, Passenger Car",9:00 PM - 9:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.19882393 45.01038713),2,2,0,0,0,Motorist Only,ROSEVILLE,RAMSEY,Metro,55113,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",56 - 70 MPH,No,2025-08-30 21:51:00,MN State Patrol District 2400 - Oakdale,0,45.01038713,-93.19882393,35,25510855,"August 30, 2025",09:51:00 PM,Saturday,"No, Did not Leave Scene","2022 CHEVROLET MALIBU, 2007 CHEVROLET TAHOE","Passenger Car, Passenger Car",9:00 PM - 9:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.1983304 44.95849323),2,2,0,0,0,Motorist Only,SAINT PAUL,RAMSEY,Metro,55104,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,Interstate Trunk Highway - ISTH,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-30 17:14:00,MN State Patrol District 2500 - Golden Valley,0,44.95849323,-93.1983304,ISTH 94,25510848,"August 30, 2025",05:14:00 PM,Saturday,"No, Did not Leave Scene","2013 HYUNDAI ELANTRA, 2018 TOYOTA SIENNA","Passenger Car, Passenger Van (Seats Installed Behind Driver)",5:00 PM - 5:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-92.98927903 45.45098674),2,2,0,0,0,Motorist Only,STACY,CHISAGO,Metro,55079,Not on Tribal Land,Possible Injury,No,Yes,No,No,No,Cloudy,Dry,Interstate Trunk Highway - ISTH,Entrance/Exit Ramp,41 - 55 MPH,No,2025-08-30 18:32:00,MN State Patrol District 2400 - Oakdale,1,45.45098674,-92.98927903,ATHENS TRAIL AND I-35,25407321,"August 30, 2025",06:32:00 PM,Saturday,"No, Did not Leave Scene","2021 HONDA PIL, 2013 FORD FOCUS","Passenger Car, Passenger Car",6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.3932173 45.20194344),2,2,0,0,0,Motorist Only,ANOKA,ANOKA,Metro,55303,Not on Tribal Land,No Apparent Injury,Yes,Yes,Yes,No,No,Clear,Dry,Local (or City) Street - MUN,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 22:26:00,Anoka Police Dept,0,45.201943440000008,-93.3932173,BRANCH AVE,25192937,"August 30, 2025",10:26:00 PM,Saturday,"No, Did not Leave Scene","2022 MASERATI GHIBLI, 1999 CHEVROLET SILVERADO","Passenger Car, Pickup",10:00 PM - 10:59 PM,Collision w/ Non-Fixed Object,Parked Motor Vehicle
POINT(-93.28695479 45.0873176),1,2,0,0,0,Motorist Only,BROOKLYN PARK,HENNEPIN,Metro,55430,Not on Tribal Land,Suspected Minor Injury,Unknown,Yes,Unknown,Yes,No,Clear,Dry,Local (or City) Street - MUN,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 19:24:00,Brooklyn Park Police Dept,1,45.0873176,-93.28695479000001,WEST RIVER RD,25-033413,"August 30, 2025",07:24:00 PM,Saturday,"No, Did not Leave Scene","2017 FREIGHTLINER TR, 2016 RANGE ROVER RANGE ROVER EVOQUE","Medium / Heavy Trucks (More than 10,000lbs), Sport Utility Vehicle",7:00 PM - 7:59 PM,Collision w/ Non-Fixed Object,Parked Motor Vehicle
POINT(-93.25898651 45.05671256),1,2,0,0,0,Motorist Only,COLUMBIA HEIGHTS,ANOKA,Metro,55421,Not on Tribal Land,No Apparent Injury,Unknown,Unknown,No,No,No,Clear,Dry,Local (or City) Street - MUN,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 09:43:00,Columbia Heights Police Dept,0,45.056712560000008,-93.25898651,6TH ST NE,25192382,"August 30, 2025",09:43:00 AM,Saturday,"Yes, Driver or Car and Driver Left Scene",2011 FORD ECONOLINE,Passenger Van (Seats Installed Behind Driver),9:00 AM - 9:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-96.06586929 46.28456017),1,2,0,0,0,Motorist Only,FERGUS FALLS,OTTER TAIL,West Central,56537,Not on Tribal Land,No Apparent Injury,No,Yes,Yes,No,No,Cloudy,Dry,Local (or City) Street - MUN,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 15:26:00,Fergus Falls Police Dept,0,46.28456017,-96.06586929,E CAVOUR AVE,25028603,"August 30, 2025",03:26:00 PM,Saturday,"Yes, Driver or Car and Driver Left Scene","1998 DODGE DAKOTA, 2013 FORD F150",Pickup,3:00 PM - 3:59 PM,Collision w/ Non-Fixed Object,Parked Motor Vehicle
POINT(-93.26005846 44.95706524),1,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55404,Not on Tribal Land,No Apparent Injury,Unknown,Unknown,Unknown,Yes,No,Clear,Dry,Local (or City) Street - MUN,Roundabout,,No,2025-08-30 12:20:00,Metropolitan Transit Police Dept,0,44.95706524,-93.26005846,10TH AVE S,25247502,"August 30, 2025",12:20:00 PM,Saturday,"No, Did not Leave Scene","2012 NISSAN VSL, 2025 TOYOTA RAV4","Passenger Car, Passenger Car",12:00 PM - 12:59 PM,Collision w/ Fixed Object,Other - Fixed Object
POINT(-93.25344964 44.98889057),2,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55414,Not on Tribal Land,No Apparent Injury,Unknown,Unknown,Unknown,Yes,No,Clear,Dry,Local (or City) Street - MUN,Other,21 - 30 MPH,No,2025-08-30 01:48:00,Minneapolis Police Dept,0,44.98889057,-93.25344964,5TH ST SE,MPD 25-247139,"August 30, 2025",01:48:00 AM,Saturday,"No, Did not Leave Scene","2017 FORD EXPLORER, 2012 FORD ESCAPE","Sport Utility Vehicle, Sport Utility Vehicle",1:00 AM - 1:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.12893081 44.96292609),2,1,0,0,1,Pedestrian,SAINT PAUL,RAMSEY,Metro,55104,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,Local (or City) Street - MUN,"Not at Intersection, Interchange or Junction",,No,2025-08-30 18:05:00,St Paul Police Dept,1,44.96292609,-93.12893081,N ST ALBANS ST,25158708,"August 30, 2025",06:05:00 PM,Saturday,"No, Did not Leave Scene",2017 TOYOTA PRIUS,Passenger Car,6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Pedestrian
POINT(-93.15163303 44.97575782),2,1,0,1,1,Pedestrian,SAINT PAUL,RAMSEY,Metro,55108,Not on Tribal Land,Suspected Serious Injury,No,Not Completely,No,No,No,Clear,Dry,Local (or City) Street - MUN,"Not at Intersection, Interchange or Junction",11 - 20 MPH,No,2025-08-30 11:27:00,St Paul Police Dept,1,44.97575782,-93.15163303,WYNNE AVE,25158501,"August 30, 2025",11:27:00 AM,Saturday,"No, Did not Leave Scene",2014 VOLKSWAGEN JETTA,Passenger Car,11:00 AM - 11:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-96.25537145 47.26246482),1,1,0,0,0,Motorist Only,TWIN VALLEY,NORMAN,Northwest,56584,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Yes,No,No,Clear,Dry,Local (or City) Street - MUN,T Intersection,21 - 30 MPH,No,2025-08-30 13:20:00,Norman County Sheriff,0,47.26246482,-96.25537145,LINCOLN AVE NE,25001975,"August 30, 2025",01:20:00 PM,Saturday,"No, Did not Leave Scene",2011 SUBARU FORESTER,Sport Utility Vehicle,1:00 PM - 1:59 PM,Collision w/ Fixed Object,Mailboxes/Posts
POINT(-93.87581348 45.17082846),2,2,0,0,0,Motorist Only,BUFFALO,WRIGHT,East Central,55313,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,Municipal State Aid Street - MSAS,Intersection Related,21 - 30 MPH,No,2025-08-30 18:20:00,MN State Patrol District 2600 - St Cloud,0,45.17082846,-93.87581348,1ST ST S,25602844,"August 30, 2025",06:20:00 PM,Saturday,"No, Did not Leave Scene","2005 FORD TAURUS, 2001 CHEVROLET IMPALA","Passenger Car, Passenger Car",6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-92.91963559 47.42317625),1,1,0,1,0,Motorist Only,HIBBING,SAINT LOUIS,Northeast,55746,Not on Tribal Land,Suspected Serious Injury,No,Unknown,No,No,No,Clear,Mud/Dirt/Gravel,Municipal State Aid Street - MSAS,"Not at Intersection, Interchange or Junction",,No,2025-08-30 22:28:00,Hibbing Police Dept,1,47.42317625,-92.91963559,23RD ST,25133038,"August 30, 2025",10:28:00 PM,Saturday,"No, Did not Leave Scene",2013 POLARIS SPORTMAN,ATV (Class I),10:00 PM - 10:59 PM,Non-Collision,Overturn/Rollover
POINT(-93.44742702 45.09803602),5,2,0,0,0,Motorist Only,MAPLE GROVE,HENNEPIN,Metro,55369,Not on Tribal Land,Possible Injury,Unknown,Yes,Unknown,No,No,Clear,Dry,Municipal State Aid Street - MSAS,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 18:34:00,Maple Grove Police Dept,2,45.09803602,-93.44742702,WEDGEWOOD RD,25011002,"August 30, 2025",06:34:00 PM,Saturday,"No, Did not Leave Scene","2021 HONDA PILOT, 2018 FORD F150","Sport Utility Vehicle, Pickup",6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.28535501 44.97273859),2,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55403,Not on Tribal Land,No Apparent Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,Municipal State Aid Street - MSAS,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 23:15:00,Minneapolis Police Dept,0,44.97273859,-93.28535501,HENNEPIN AVE,25-248179,"August 30, 2025",11:15:00 PM,Saturday,"No, Did not Leave Scene","2015 DODGE JOURNEY, 2023 KIA MOTORS SOUL","Sport Utility Vehicle, Passenger Car",11:00 PM - 11:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.26246738 44.96573926),2,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55404,Not on Tribal Land,No Apparent Injury,Yes,Yes,No,No,No,Clear,Dry,Municipal State Aid Street - MSAS,"Not at Intersection, Interchange or Junction",41 - 55 MPH,No,2025-08-30 15:09:00,MN State Patrol District 2500 - Golden Valley,0,44.96573926,-93.262467380000018,WB 94 @ CHICAGO AVE,25510844,"August 30, 2025",03:09:00 PM,Saturday,"No, Did not Leave Scene","2006 HONDA CR-V, 2016 TOYOTA COROLLA","Sport Utility Vehicle, Passenger Car",3:00 PM - 3:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.23303481 44.96398773),3,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55406,Not on Tribal Land,Possible Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,Municipal State Aid Street - MSAS,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 22:25:00,Minneapolis Police Dept,1,44.963987729999992,-93.23303481,27TH AVE S,25-248122,"August 30, 2025",10:25:00 PM,Saturday,"No, Did not Leave Scene","2021 SUBARU IMPREZA, 2015 MAZDA CX-5","Passenger Car, Sport Utility Vehicle",10:00 PM - 10:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.01129528 45.51042398),2,1,0,0,0,Motorist Only,NORTH BRANCH,CHISAGO,Metro,55056,Not on Tribal Land,Suspected Minor Injury,Unknown,Yes,Unknown,Yes,No,Clear,Dry,Municipal State Aid Street - MSAS,T Intersection,41 - 55 MPH,No,2025-08-30 22:25:00,North Branch Police Dept,2,45.51042398,-93.01129528,ISANTI TRL,25010624,"August 30, 2025",10:25:00 PM,Saturday,"No, Did not Leave Scene",2015 CHEVROLET TAHOE,Sport Utility Vehicle,10:00 PM - 10:59 PM,Collision w/ Fixed Object,Embankment
POINT(-93.46143373 45.01227076),3,2,0,0,0,Motorist Only,PLYMOUTH,HENNEPIN,Metro,55447,Not on Tribal Land,Suspected Minor Injury,No,Yes,Unknown,No,No,Clear,Dry,Municipal State Aid Street - MSAS,Four-Way Intersection,41 - 55 MPH,No,2025-08-30 14:48:00,Plymouth Police Dept,2,45.01227076,-93.46143373,FERNBROOK LN,25034585,"August 30, 2025",02:48:00 PM,Saturday,"No, Did not Leave Scene","2023 HYUNDAI KONA, 2025 TOYOTA RAV","Sport Utility Vehicle, Sport Utility Vehicle",2:00 PM - 2:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
